condition_name,condition_type,seed,steps,n_agents,n_arms,threshold,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name
baseline,baseline,10,10000,5,5,,,,,65028.95175458397,6.502895175458397,2.610306320428193,8857,0.8857,0,0,0.13900320416914136,8743.61749568503,RandomAgent,15274.698947120562,EpsilonGreedyAgent,17628.622177714602,UCB_BaselineAgent,12935.38646700325,RiskAverseEpsilonGreedyAgent,10446.626667060526,RiskAverseUCBAgent
baseline,baseline,11,10000,5,5,,,,,64191.26232057733,6.4191262320577325,2.669540837187294,8921,0.8921,0,0,0.13269855238415262,8642.44239528795,RandomAgent,16736.507067549515,EpsilonGreedyAgent,15562.663160415397,UCB_BaselineAgent,12794.076156515997,RiskAverseEpsilonGreedyAgent,10455.573540808466,RiskAverseUCBAgent
baseline,baseline,12,10000,5,5,,,,,64514.34410892778,6.4514344108927775,2.65119967230025,8879,0.8879,0,0,0.1358493073931042,8615.6327321304,RandomAgent,16869.469941778007,EpsilonGreedyAgent,15805.077978136136,UCB_BaselineAgent,12821.983469747462,RiskAverseEpsilonGreedyAgent,10402.17998713577,RiskAverseUCBAgent
baseline,baseline,13,10000,5,5,,,,,64633.16634323992,6.463316634323992,2.6317645210627543,8849,0.8849,0,0,0.1380327719519987,8664.379955214306,RandomAgent,15171.007647529954,EpsilonGreedyAgent,17465.655643801598,UCB_BaselineAgent,12862.301847969611,RiskAverseEpsilonGreedyAgent,10469.821248724451,RiskAverseUCBAgent
baseline,baseline,14,10000,5,5,,,,,65081.423132107484,6.508142313210748,2.649466379590498,8896,0.8896,0,0,0.13978695365537552,8697.230884039589,RandomAgent,15403.932942014662,EpsilonGreedyAgent,17601.243419220493,UCB_BaselineAgent,12910.892572440756,RiskAverseEpsilonGreedyAgent,10468.123314391985,RiskAverseUCBAgent
baseline,baseline,15,10000,5,5,,,,,64422.91218663559,6.442291218663559,2.674053007173696,8936,0.8936,0,0,0.13461033055037563,8646.494154052218,RandomAgent,12743.578107200627,EpsilonGreedyAgent,15777.498188841639,UCB_BaselineAgent,16816.935205652004,RiskAverseEpsilonGreedyAgent,10438.406530889108,RiskAverseUCBAgent
baseline,baseline,16,10000,5,5,,,,,64645.789543373445,6.464578954337345,2.6637644556760383,8938,0.8938,0,0,0.1399730243351025,8539.690917604623,RandomAgent,10435.85491206595,EpsilonGreedyAgent,15630.90178567749,UCB_BaselineAgent,12786.341106080868,RiskAverseEpsilonGreedyAgent,17253.00082194451,RiskAverseUCBAgent
baseline,baseline,17,10000,5,5,,,,,65723.18525976193,6.5723185259761925,2.643471064228415,8796,0.8796,0,0,0.1396651097030075,8850.389627706556,RandomAgent,15535.8068040838,EpsilonGreedyAgent,17811.099748441888,UCB_BaselineAgent,10509.137347215143,RiskAverseEpsilonGreedyAgent,13016.75173231455,RiskAverseUCBAgent
baseline,baseline,18,10000,5,5,,,,,65088.95813223102,6.508895813223102,2.639695958545536,8816,0.8816,0,0,0.1416725916231938,8604.900644730726,RandomAgent,15360.016751506355,EpsilonGreedyAgent,17694.919099639035,UCB_BaselineAgent,10486.750199706186,RiskAverseEpsilonGreedyAgent,12942.371436648717,RiskAverseUCBAgent
baseline,baseline,19,10000,5,5,,,,,64131.67308020406,6.413167308020406,2.6831692481867186,8915,0.8915,0,0,0.12807042529163293,8807.886418163665,RandomAgent,15239.655316310349,EpsilonGreedyAgent,12960.916799030565,UCB_BaselineAgent,16677.586227276897,RiskAverseEpsilonGreedyAgent,10445.628319422587,RiskAverseUCBAgent
baseline,baseline,20,10000,5,5,,,,,64719.65420142661,6.471965420142661,2.6797172377980996,8836,0.8836,0,0,0.1324809295044258,8724.779577438423,RandomAgent,16762.868794091926,EpsilonGreedyAgent,15854.070469185968,UCB_BaselineAgent,12882.986322742388,RiskAverseEpsilonGreedyAgent,10494.949037967905,RiskAverseUCBAgent
baseline,baseline,21,10000,5,5,,,,,65306.77679172168,6.530677679172168,2.6859291735330375,8750,0.875,0,0,0.13518943769733482,8730.098047925834,RandomAgent,17007.368503650683,EpsilonGreedyAgent,16010.657344993951,UCB_BaselineAgent,10493.232175698155,RiskAverseEpsilonGreedyAgent,13065.420719453052,RiskAverseUCBAgent
baseline,baseline,22,10000,5,5,,,,,64740.8057380286,6.474080573802859,2.6446932373211407,8846,0.8846,0,0,0.13253714389737303,8737.06945251195,RandomAgent,16833.372185228865,EpsilonGreedyAgent,15700.92472268114,UCB_BaselineAgent,10442.126472782558,RiskAverseEpsilonGreedyAgent,13027.312904824083,RiskAverseUCBAgent
baseline,baseline,23,10000,5,5,,,,,64372.70102459081,6.437270102459081,2.671822414962477,9114,0.9114,0,0,0.12479568309454225,8845.455673159438,RandomAgent,16318.254115953992,EpsilonGreedyAgent,15762.948994536404,UCB_BaselineAgent,12821.08435332683,RiskAverseEpsilonGreedyAgent,10624.957887614144,RiskAverseUCBAgent
baseline,baseline,24,10000,5,5,,,,,64464.372666979034,6.446437266697903,2.630887409643902,8913,0.8913,0,0,0.13541135596557008,8625.461718862078,RandomAgent,15192.882441798158,EpsilonGreedyAgent,17152.477850898784,UCB_BaselineAgent,10423.894420107905,RiskAverseEpsilonGreedyAgent,13069.656235312113,RiskAverseUCBAgent
baseline,baseline,25,10000,5,5,,,,,64762.487666827845,6.476248766682785,2.641544148205734,8830,0.883,0,0,0.13554425550243088,8775.842926341455,RandomAgent,15597.814221255829,EpsilonGreedyAgent,17175.484907233047,UCB_BaselineAgent,12761.705367172372,RiskAverseEpsilonGreedyAgent,10451.64024482514,RiskAverseUCBAgent
baseline,baseline,26,10000,5,5,,,,,64095.525149409135,6.409552514940914,2.5705128406142603,9010,0.901,0,0,0.13696077808520446,8857.174025840779,RandomAgent,14772.056234171321,EpsilonGreedyAgent,17672.4657240376,UCB_BaselineAgent,10456.207139957804,RiskAverseEpsilonGreedyAgent,12337.62202540163,RiskAverseUCBAgent
baseline,baseline,27,10000,5,5,,,,,64756.419614793704,6.47564196147937,2.6499673422501364,8834,0.8834,0,0,0.1324259900810676,8685.187641260922,RandomAgent,16840.219991368638,EpsilonGreedyAgent,15643.423810196122,UCB_BaselineAgent,10514.90605642624,RiskAverseEpsilonGreedyAgent,13072.682115541786,RiskAverseUCBAgent
baseline,baseline,28,10000,5,5,,,,,64854.53448065599,6.4854534480655985,2.6247259275936483,8841,0.8841,0,0,0.13584286832562809,8802.49680426,RandomAgent,15035.60363433267,EpsilonGreedyAgent,17555.841113119117,UCB_BaselineAgent,10517.227282611775,RiskAverseEpsilonGreedyAgent,12943.36564633243,RiskAverseUCBAgent
baseline,baseline,29,10000,5,5,,,,,64737.830874549516,6.473783087454952,2.6503007515557964,8871,0.8871,0,0,0.1392798687107506,8691.896887126619,RandomAgent,15456.401151179893,EpsilonGreedyAgent,17394.164641820586,UCB_BaselineAgent,12876.122995919693,RiskAverseEpsilonGreedyAgent,10319.245198502726,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,0,10000,5,5,3,1,0.0,False,65370.90867386446,6.537090867386446,2.643504401699835,8792,0.8792,0,306,0.1371953617084971,8754.855375867332,RandomAgent,15547.195042973794,EpsilonGreedyAgent,17429.52380582855,UCB_BaselineAgent,10475.068251086303,RiskAverseEpsilonGreedyAgent,13164.266198108486,RiskAverseUCBAgent
