condition_name,agent_name,mean_reward,std_reward
balanced_cb_transparent_ratio08_halt3,UCB_BaselineAgent,16158.248767741288,1100.6456380771817
balanced_cb_transparent_ratio08_halt3,RiskAverseEpsilonGreedyAgent,12418.084769121,2325.032837234507
balanced_cb_transparent_ratio08_halt3,RiskAverseUCBAgent,11714.55636121965,1630.3005130143747
balanced_cb_transparent_ratio08_halt5,RandomAgent,4349.607376849871,2467.0855725654546
balanced_cb_transparent_ratio08_halt5,EpsilonGreedyAgent,6083.511400166522,5679.637846987794
balanced_cb_transparent_ratio08_halt5,UCB_BaselineAgent,6196.170329063714,5885.3851517130315
balanced_cb_transparent_ratio08_halt5,RiskAverseEpsilonGreedyAgent,5228.959607372875,4113.387104823986
balanced_cb_transparent_ratio08_halt5,RiskAverseUCBAgent,4835.672252488791,3398.4959864812663
high_congestion_baseline,RandomAgent,6119.130662308287,147.62112371579525
high_congestion_baseline,EpsilonGreedyAgent,9555.939255461428,1865.371560653609
high_congestion_baseline,UCB_BaselineAgent,6857.7361128911825,832.8474781429695
high_congestion_baseline,RiskAverseEpsilonGreedyAgent,8609.80590884935,902.2484053922033
high_congestion_baseline,RiskAverseUCBAgent,4696.418237846395,536.9566181835784
high_congestion_cb_opaque_ratio06_halt10,RandomAgent,5898.2278439415095,103.18924305709477
high_congestion_cb_opaque_ratio06_halt10,EpsilonGreedyAgent,9096.015608033942,1646.4378423575695
high_congestion_cb_opaque_ratio06_halt10,UCB_BaselineAgent,7071.923755226552,1031.7919069975571
high_congestion_cb_opaque_ratio06_halt10,RiskAverseEpsilonGreedyAgent,8496.61990168994,1212.6023119668853
high_congestion_cb_opaque_ratio06_halt10,RiskAverseUCBAgent,4650.107161393476,388.49085838758936
high_congestion_cb_opaque_ratio06_halt3,RandomAgent,6039.707196009264,135.3972081861512
high_congestion_cb_opaque_ratio06_halt3,EpsilonGreedyAgent,9965.353387074549,1939.277537847053
high_congestion_cb_opaque_ratio06_halt3,UCB_BaselineAgent,6894.390008706235,966.2463205559778
high_congestion_cb_opaque_ratio06_halt3,RiskAverseEpsilonGreedyAgent,8208.019838667218,812.9032632914079
high_congestion_cb_opaque_ratio06_halt3,RiskAverseUCBAgent,4720.532573705318,628.2369304847995
high_congestion_cb_opaque_ratio06_halt5,RandomAgent,5995.1895449157455,109.60280588043601
high_congestion_cb_opaque_ratio06_halt5,EpsilonGreedyAgent,9118.88176361664,1514.0428325281089
high_congestion_cb_opaque_ratio06_halt5,UCB_BaselineAgent,6895.552856927743,805.6203549231778
high_congestion_cb_opaque_ratio06_halt5,RiskAverseEpsilonGreedyAgent,8511.837614711987,1036.1730629166984
high_congestion_cb_opaque_ratio06_halt5,RiskAverseUCBAgent,4727.590261291296,457.2733452210433
high_congestion_cb_opaque_ratio08_halt10,RandomAgent,6123.391831146387,132.89578087824526
high_congestion_cb_opaque_ratio08_halt10,EpsilonGreedyAgent,9465.238509469677,1744.8348462474028
high_congestion_cb_opaque_ratio08_halt10,UCB_BaselineAgent,6831.323050723908,890.0885052167021
high_congestion_cb_opaque_ratio08_halt10,RiskAverseEpsilonGreedyAgent,8678.324778269092,919.1546126498736
high_congestion_cb_opaque_ratio08_halt10,RiskAverseUCBAgent,4650.697852641295,540.7659602123292
high_congestion_cb_opaque_ratio08_halt3,RandomAgent,6092.218122590636,138.15695656211471
high_congestion_cb_opaque_ratio08_halt3,EpsilonGreedyAgent,9770.31569618965,1882.2890096821077
high_congestion_cb_opaque_ratio08_halt3,UCB_BaselineAgent,6826.485176383643,831.5570524149587
high_congestion_cb_opaque_ratio08_halt3,RiskAverseEpsilonGreedyAgent,8335.333798757598,800.5864617094376
high_congestion_cb_opaque_ratio08_halt3,RiskAverseUCBAgent,4774.8025754702485,611.1703476286503
high_congestion_cb_opaque_ratio08_halt5,RandomAgent,6097.365055867311,147.00319728810388
high_congestion_cb_opaque_ratio08_halt5,EpsilonGreedyAgent,9295.125614117913,1632.5934692375347
high_congestion_cb_opaque_ratio08_halt5,UCB_BaselineAgent,6898.523189311733,853.5269566460352
high_congestion_cb_opaque_ratio08_halt5,RiskAverseEpsilonGreedyAgent,8552.76328096199,910.5291616524884
high_congestion_cb_opaque_ratio08_halt5,RiskAverseUCBAgent,4718.00350335141,524.5306396700965
high_congestion_cb_transparent_ratio06_halt10,RandomAgent,753.0643272279231,8.115434652704133
high_congestion_cb_transparent_ratio06_halt10,EpsilonGreedyAgent,751.2121381070541,8.417653808041061
high_congestion_cb_transparent_ratio06_halt10,UCB_BaselineAgent,750.789701312499,8.669121727180778
high_congestion_cb_transparent_ratio06_halt10,RiskAverseEpsilonGreedyAgent,751.0128258533995,8.67828508276921
high_congestion_cb_transparent_ratio06_halt10,RiskAverseUCBAgent,750.789701312499,8.669121727180778
high_congestion_cb_transparent_ratio06_halt3,RandomAgent,6076.490475504883,163.6147467957792
high_congestion_cb_transparent_ratio06_halt3,EpsilonGreedyAgent,9118.19878123614,2016.1049655131349
high_congestion_cb_transparent_ratio06_halt3,UCB_BaselineAgent,6572.877568485537,1043.888864694236
high_congestion_cb_transparent_ratio06_halt3,RiskAverseEpsilonGreedyAgent,8664.152943656874,906.4146316851754
high_congestion_cb_transparent_ratio06_halt3,RiskAverseUCBAgent,4781.746330651849,624.8485631582005
high_congestion_cb_transparent_ratio06_halt5,RandomAgent,1505.1593225798813,12.46219227158923
high_congestion_cb_transparent_ratio06_halt5,EpsilonGreedyAgent,1503.3071334590124,13.003358577828537
high_congestion_cb_transparent_ratio06_halt5,UCB_BaselineAgent,1502.8846966644574,13.190241923192279
high_congestion_cb_transparent_ratio06_halt5,RiskAverseEpsilonGreedyAgent,1503.1078212053578,13.239469119460152
high_congestion_cb_transparent_ratio06_halt5,RiskAverseUCBAgent,1502.8846966644574,13.190241923192279
high_congestion_cb_transparent_ratio08_halt10,RandomAgent,3598.3457938986335,2709.760585494146
high_congestion_cb_transparent_ratio08_halt10,EpsilonGreedyAgent,5424.367096881586,4601.225306597655
high_congestion_cb_transparent_ratio08_halt10,UCB_BaselineAgent,3950.8016524212794,3101.319962387775
high_congestion_cb_transparent_ratio08_halt10,RiskAverseEpsilonGreedyAgent,4894.154769085707,3992.2015374260536
high_congestion_cb_transparent_ratio08_halt10,RiskAverseUCBAgent,2946.163493183507,2145.932263648535
high_congestion_cb_transparent_ratio08_halt3,RandomAgent,6094.192427447273,130.1445689914513
high_congestion_cb_transparent_ratio08_halt3,EpsilonGreedyAgent,9469.68064821501,1802.6488115769
high_congestion_cb_transparent_ratio08_halt3,UCB_BaselineAgent,6849.8861861374635,833.4276595741032
