condition_name,avg_global_reward_mean,avg_global_reward_std,avg_reward_per_agent_per_step_mean,avg_reward_per_agent_per_step_std,reward_volatility_mean,reward_volatility_std,total_collisions_mean,total_collisions_std,avg_collisions_per_step_mean,avg_collisions_per_step_std,total_halted_choices_mean,total_halted_choices_std,total_triggers_mean,total_triggers_std,gini_total_rewards_mean,gini_total_rewards_std,market_wide_halt_steps_mean,market_wide_halt_steps_std,avg_available_arms_mean,avg_available_arms_std
balanced_baseline,6.474609549415785,0.03620132633514587,1.2949219098831568,0.007240265267029217,2.649327017933072,0.02478550985806831,8872.966666666667,73.87056869647252,0.8872966666666666,0.007387056869647201,0.0,0.0,0.0,0.0,0.13623503956628127,0.0037490118229724224,0.0,0.0,5.0,0.0
balanced_cb_opaque_ratio06_halt10,6.090212727894053,0.08030838332540975,1.2180425455788106,0.01606167666508193,2.678881933249858,0.040621132256762886,8831.333333333334,58.281914941046935,0.8831333333333333,0.0058281914941047015,2664.4666666666667,169.81485523201832,276.26666666666665,18.22830942155131,0.13481250020523686,0.004049251822461898,0.0,0.0,5.0,0.0
balanced_cb_opaque_ratio06_halt3,6.340794098303397,0.12820714030877192,1.2681588196606797,0.02564142806175437,2.630375360132313,0.11155439334054988,8857.133333333333,66.82438814216505,0.8857133333333334,0.006682438814216482,705.0,64.38354898039053,306.53333333333336,26.91203209095084,0.13522344056819058,0.003743048746563133,0.0,0.0,5.0,0.0
balanced_cb_opaque_ratio06_halt5,6.294136522109244,0.06724213262723297,1.2588273044218488,0.01344842652544657,2.6699748710241904,0.021428023742686108,8821.866666666667,65.66147946138204,0.8821866666666666,0.0065661479461381735,1264.3333333333333,77.02141812882125,284.03333333333336,16.822569678105438,0.1360763415603973,0.004254044451385148,0.0,0.0,5.0,0.0
balanced_cb_opaque_ratio08_halt10,6.452996218027676,0.10120194856390584,1.2905992436055351,0.020240389712781207,2.639238912727006,0.07947614067471225,8865.966666666667,75.14192701416637,0.8865966666666666,0.007514192701416636,55.1,23.929998486966245,6.233333333333333,2.568822799399103,0.13466211977104783,0.003807299851365033,0.0,0.0,5.0,0.0
balanced_cb_opaque_ratio08_halt3,6.470977569289742,0.03481288265263439,1.2941955138579486,0.006962576530526956,2.6578468149930354,0.03072763291090871,8886.9,66.73589221959061,0.88869,0.006673589221959069,14.833333333333334,5.324525773497925,6.7,2.151983848163973,0.13491050957822498,0.003362300012516514,0.0,0.0,5.0,0.0
balanced_cb_opaque_ratio08_halt5,6.44120486791572,0.06817218926577039,1.288240973583144,0.01363443785315407,2.639791340129663,0.03993350113035308,8885.766666666666,88.34637292608787,0.8885766666666667,0.008834637292608786,28.233333333333334,9.35758343890622,6.633333333333334,2.008316044185609,0.1340049292733551,0.004489041067774424,0.0,0.0,5.0,0.0
balanced_cb_transparent_ratio06_halt10,0.7520775777153383,0.009890726449836743,0.15041551554306762,0.001978145289967354,1.1531184990690062,0.01539567776974237,5000.2,0.550861394419734,0.50002,5.508613944198464e-05,0.0,0.0,5000.0,0.0,0.0004149220968389994,0.00022594713031465528,0.0,0.0,5.0,0.0
balanced_cb_transparent_ratio06_halt3,6.370986843205959,0.08125543456715152,1.2741973686411918,0.016251086913430253,2.6512015209656954,0.0503998724620616,9191.233333333334,137.90268516135814,0.9191233333333333,0.013790268516135814,0.0,0.0,456.6333333333333,77.13735323672842,0.13276690172932923,0.004052473963091848,0.0,0.0,5.0,0.0
balanced_cb_transparent_ratio06_halt5,1.5028487789297573,0.011344383148231676,0.30056975578595146,0.002268876629646336,1.2319193445300338,0.013522581425027257,10000.2,0.5508613944195542,1.00002,5.5086139441945296e-05,0.0,0.0,10000.0,0.0,0.00020750974912375165,0.00011296199691565679,0.0,0.0,5.0,0.0
