condition_name,condition_type,market_name,collision_policy,seed,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,avg_reward_per_agent_per_step,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,market_wide_halt_steps,avg_available_arms,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name,agent_5_reward,agent_5_name,agent_6_reward,agent_6_name,agent_7_reward,agent_7_name,agent_8_reward,agent_8_name,agent_9_reward,agent_9_name
low_congestion_baseline,baseline,low_congestion,linear_share,11,10000,5,10,,,,,,77693.52712691104,7.769352712691104,1.5538705425382207,3.150617308118937,4742,0.4742,0,0,0,10,0.09414454907795844,11559.53061171609,RandomAgent_1,16389.807138211607,EpsilonGreedyAgent_1,18353.943104358623,UCB_BaselineAgent_1,18043.738240718798,RiskAverseEpsilonGreedyAgent_1,13346.508031905916,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,12,10000,5,10,,,,,,78341.79921108368,7.834179921108368,1.5668359842216735,3.13481343501561,4656,0.4656,0,0,0,10,0.09085781635269896,11506.68503832996,RandomAgent_1,17980.04686154864,EpsilonGreedyAgent_1,17109.796659342795,UCB_BaselineAgent_1,18191.168626875064,RiskAverseEpsilonGreedyAgent_1,13554.102024987227,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,13,10000,5,10,,,,,,78258.0554613925,7.82580554613925,1.5651611092278501,3.1258904128087,4579,0.4579,0,0,0,10,0.08789921710037985,11507.920912502284,RandomAgent_1,18176.857878139766,EpsilonGreedyAgent_1,16836.96836397834,UCB_BaselineAgent_1,13938.563860455431,RiskAverseEpsilonGreedyAgent_1,17797.74444631669,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,14,10000,5,10,,,,,,75730.75904047754,7.573075904047754,1.5146151808095507,3.0357927003714673,4727,0.4727,0,0,0,10,0.10477997809125106,11677.713752549105,RandomAgent_1,16236.564650449738,EpsilonGreedyAgent_1,18858.119715379555,UCB_BaselineAgent_1,11740.752332511216,RiskAverseEpsilonGreedyAgent_1,17217.60858958793,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,15,10000,5,10,,,,,,77137.62069808319,7.713762069808319,1.5427524139616637,3.080594522694303,4765,0.4765,0,0,0,10,0.09120556225267995,11314.440390255037,RandomAgent_1,16582.174945197872,EpsilonGreedyAgent_1,18259.88315101173,UCB_BaselineAgent_1,13641.778783312682,RiskAverseEpsilonGreedyAgent_1,17339.34342830587,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,16,10000,5,10,,,,,,77455.82017662341,7.745582017662342,1.5491164035324683,3.1039664545169936,4691,0.4691,0,0,0,10,0.08835749041638774,11432.610746178749,RandomAgent_1,18076.943368355882,EpsilonGreedyAgent_1,16495.735730416964,UCB_BaselineAgent_1,13814.845426826249,RiskAverseEpsilonGreedyAgent_1,17635.684904845577,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,17,10000,5,10,,,,,,78640.46288801162,7.864046288801162,1.5728092577602324,3.11749160224396,4667,0.4667,0,0,0,10,0.09275963503628559,11428.864740285127,RandomAgent_1,18287.68694561314,EpsilonGreedyAgent_1,16995.440445145683,UCB_BaselineAgent_1,18223.738968876467,RiskAverseEpsilonGreedyAgent_1,13704.731788091201,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,18,10000,5,10,,,,,,78217.26618926218,7.821726618926219,1.5643453237852436,3.1114926738854214,4621,0.4621,0,0,0,10,0.09658678841244495,11475.323498678268,RandomAgent_1,16452.328499165833,EpsilonGreedyAgent_1,18667.95849649583,UCB_BaselineAgent_1,18061.636024171232,RiskAverseEpsilonGreedyAgent_1,13560.019670751028,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,19,10000,5,10,,,,,,77980.30369238771,7.798030369238771,1.5596060738477542,3.130592300923631,4735,0.4735,0,0,0,10,0.09351528451842173,11334.536498663661,RandomAgent_1,18201.041223735625,EpsilonGreedyAgent_1,16982.17093673144,UCB_BaselineAgent_1,17980.210649839744,RiskAverseEpsilonGreedyAgent_1,13482.344383417238,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,20,10000,5,10,,,,,,77869.22536337702,7.786922536337702,1.5573845072675403,3.145900077032534,4719,0.4719,0,0,0,10,0.09332187173211448,11457.719458104262,RandomAgent_1,18108.507641350556,EpsilonGreedyAgent_1,16546.440319658814,UCB_BaselineAgent_1,18243.581290740603,RiskAverseEpsilonGreedyAgent_1,13512.976653522777,RiskAverseUCBAgent_1,,,,,,,,,,
