condition_name,agent_name,mean_reward,std_reward,ci95_reward,n_observations
low_congestion_baseline,RandomAgent_1,11515.148230876179,108.93415078069081,38.981585221298864,30
low_congestion_baseline,EpsilonGreedyAgent_1,17192.085811252062,1037.8042880318142,371.373494969334,30
low_congestion_baseline,UCB_BaselineAgent_1,18024.947643452007,769.4433385179769,275.341762509208,30
low_congestion_baseline,RiskAverseEpsilonGreedyAgent_1,15565.85674083195,2519.002552091637,901.4134865265322,30
low_congestion_baseline,RiskAverseUCBAgent_1,14688.198826538504,1820.313763026235,651.3909143677671,30
low_congestion_cb_opaque_ratio06_halt3,RandomAgent_1,11550.87674005739,148.87847030094727,53.27547638698528,30
low_congestion_cb_opaque_ratio06_halt3,EpsilonGreedyAgent_1,16993.65574307781,896.0741050539832,320.6560003490894,30
low_congestion_cb_opaque_ratio06_halt3,UCB_BaselineAgent_1,18123.57810277272,693.3596632334537,248.11556897120332,30
low_congestion_cb_opaque_ratio06_halt3,RiskAverseEpsilonGreedyAgent_1,15503.497896427823,2253.4206053401676,806.3762074332807,30
low_congestion_cb_opaque_ratio06_halt3,RiskAverseUCBAgent_1,14608.287900714991,1810.5302657681361,647.889934836594,30
low_congestion_cb_transparent_ratio06_halt3,RandomAgent_1,11530.072912838288,110.12934057287052,39.409278395620994,30
low_congestion_cb_transparent_ratio06_halt3,EpsilonGreedyAgent_1,17439.029333201765,875.9490158563244,313.4543296698534,30
low_congestion_cb_transparent_ratio06_halt3,UCB_BaselineAgent_1,17856.30364292284,932.9620661307638,333.8561876920779,30
low_congestion_cb_transparent_ratio06_halt3,RiskAverseEpsilonGreedyAgent_1,15332.631064319523,2415.0547666424673,864.2162492229635,30
low_congestion_cb_transparent_ratio06_halt3,RiskAverseUCBAgent_1,14689.140972500149,1797.1161871717452,643.0897684588056,30
low_congestion_cb_opaque_ratio06_halt5,RandomAgent_1,11542.30142573595,134.0698937837023,47.976295337001524,30
low_congestion_cb_opaque_ratio06_halt5,EpsilonGreedyAgent_1,17346.037998327338,809.7940141481191,289.7810663413005,30
low_congestion_cb_opaque_ratio06_halt5,UCB_BaselineAgent_1,18179.635855650584,608.9770896137738,217.91965280373518,30
low_congestion_cb_opaque_ratio06_halt5,RiskAverseEpsilonGreedyAgent_1,14552.74651734456,2051.205918672741,734.014611140176,30
