condition_name,condition_type,market_name,collision_policy,n_seeds,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,avg_global_reward_mean,avg_global_reward_std,avg_global_reward_ci95,avg_reward_per_agent_per_step_mean,avg_reward_per_agent_per_step_std,avg_reward_per_agent_per_step_ci95,reward_volatility_mean,reward_volatility_std,reward_volatility_ci95,total_collisions_mean,total_collisions_std,total_collisions_ci95,avg_collisions_per_step_mean,avg_collisions_per_step_std,avg_collisions_per_step_ci95,total_halted_choices_mean,total_halted_choices_std,total_halted_choices_ci95,total_triggers_mean,total_triggers_std,total_triggers_ci95,gini_total_rewards_mean,gini_total_rewards_std,gini_total_rewards_ci95,market_wide_halt_steps_mean,market_wide_halt_steps_std,market_wide_halt_steps_ci95,avg_available_arms_mean,avg_available_arms_std,avg_available_arms_ci95,baseline_condition,relative_efficiency
low_congestion_baseline,baseline,low_congestion,linear_share,30,10000,5,10,,,,,,7.683392692647113,0.15307820084533527,0.054778330661327056,1.5366785385294226,0.030615640169067072,0.010955666132265418,2.976080669071621,0.23163313292316756,0.08288885208550613,4675.133333333333,79.31418681348916,28.382217241978847,0.46751333333333334,0.007931418681348919,0.002838221724197886,0.0,0.0,0.0,0.0,0.0,0.0,0.09464788233678141,0.008113763886278186,0.0029034731177664244,0.0,0.0,0.0,10.0,0.0,0.0,low_congestion_baseline,1.0
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,30,10000,5,10,3,0.6,3,0.0,False,7.609663352229637,0.16260375470289898,0.05818700633206548,1.5219326704459275,0.0325207509405798,0.011637401266413097,2.898852761873442,0.25867619912897605,0.09256608904372374,4662.133333333333,74.67665163121988,26.722696590017737,0.4662133333333333,0.007467665163121987,0.0026722696590017734,167.93333333333334,24.588942473274912,8.799040059102232,87.53333333333333,11.554170267687448,4.134606730060374,0.0958493695623254,0.00802843387692425,0.002872938166075643,0.0,0.0,0.0,9.97374,0.0034662510803064026,0.0012403820190181722,low_congestion_baseline,0.9904040645367465
low_congestion_cb_transparent_ratio06_halt3,circuit_breaker,low_congestion,linear_share,30,10000,5,10,3,0.6,3,0.0,True,7.71727182261908,0.1332777817067657,0.04769284167062937,1.5434543645238157,0.026655556341353158,0.00953856833412588,3.02140764207729,0.20591984763377924,0.07368747111687116,4719.6,78.85674484086033,28.21852373436864,0.47196,0.007885674484086029,0.0028218523734368627,0.0,0.0,0.0,97.33333333333333,10.056164118669166,3.598552114115851,0.0928478537663222,0.0051821184935704695,0.0018543972871342476,0.0,0.0,0.0,9.9708,0.0030168492356007297,0.001079565634234748,low_congestion_baseline,1.0044093971670076
low_congestion_cb_opaque_ratio06_halt5,circuit_breaker,low_congestion,linear_share,30,10000,5,10,3,0.6,5,0.0,False,7.570766039218667,0.15670387408650305,0.05607576116794296,1.5141532078437336,0.031340774817300604,0.011215152233588589,2.8946560341718945,0.24220191462928448,0.08667084204742107,4659.666666666667,78.35389800982038,28.038582306846003,0.46596666666666664,0.007835389800982032,0.0028038582306845984,325.8333333333333,36.90255886215362,13.205411093396293,90.03333333333333,8.786680096967043,3.144273091197813,0.09701050641586978,0.008255289908526732,0.0029541175544079688,0.0,0.0,0.0,9.95502,0.004376221011881036,0.0015660105770257467,low_congestion_baseline,0.985341546640428
low_congestion_cb_transparent_ratio06_halt5,circuit_breaker,low_congestion,linear_share,30,10000,5,10,3,0.6,5,0.0,True,7.633086122147172,0.14794468995238785,0.05294132738068674,1.5266172244294343,0.02958893799047759,0.010588265476137355,2.8767481627692972,0.25355023387685444,0.09073178593597496,4744.5,114.1879122777224,40.861619627967386,0.47445,0.011418791227772243,0.0040861619627967395,0.0,0.0,0.0,99.16666666666667,14.465376816273457,5.176368614255686,0.09479255674079227,0.007201544197051333,0.0025770394943223566,0.0,0.0,0.0,9.950423333333333,0.00723571998339915,0.002589269142403099,low_congestion_baseline,0.9934525576770162
low_congestion_cb_opaque_ratio06_halt10,circuit_breaker,low_congestion,linear_share,30,10000,5,10,3,0.6,10,0.0,False,7.522857452647225,0.14671620505639849,0.05250171970648273,1.5045714905294447,0.029343241011279702,0.010500343941296548,2.951590694461687,0.19894794684715067,0.07119260846158183,4676.3,63.06654941545806,22.568074869388944,0.46763,0.006306654941545806,0.002256807486938894,636.6666666666666,76.58861594227972,27.406884231795104,85.36666666666666,9.611355831491217,3.43937951278282,0.09358708887407093,0.007176970373678515,0.002568245864563869,0.0,0.0,0.0,9.914656666666668,0.009600563321595017,0.003435517462716286,low_congestion_baseline,0.9791062039359879
low_congestion_cb_transparent_ratio06_halt10,circuit_breaker,low_congestion,linear_share,30,10000,5,10,3,0.6,10,0.0,True,7.188750249721214,1.4797274378847174,0.5295136631700057,1.4377500499442428,0.29594548757694344,0.10590273263400113,2.77445194291123,0.3706411579039667,0.13263223497690665,5119.4,1286.3760001621233,460.32373977841524,0.51194,0.12863760001621236,0.04603237397784153,0.0,0.0,0.0,733.4,2386.7758024235295,854.0967518406422,0.09119918853185496,0.021827248549631445,0.007810780580617974,0.0,0.0,0.0,9.2669,2.3856344793294544,0.8536883346166784,low_congestion_baseline,0.9356218713903216
low_congestion_cb_opaque_ratio08_halt3,circuit_breaker,low_congestion,linear_share,30,10000,5,10,4,0.8,3,0.0,False,7.661295115333751,0.16096334770100645,0.05759999422536052,1.53225902306675,0.032192669540201294,0.011519998845072104,2.9210550322097575,0.24916999447827443,0.08916433739773653,4687.3,99.80952549386429,35.716379997025925,0.46873,0.009980952549386428,0.0035716379997025927,1.6333333333333333,1.7904600320690718,0.640707893945427,1.0333333333333334,0.9278574999588488,0.332029542146836,0.0951059259416828,0.0068806885496857165,0.002462222775489177,0.0,0.0,0.0,9.99969,0.0002783572499877739,9.960886264409347e-05,low_congestion_baseline,0.997123981788083
low_congestion_cb_transparent_ratio08_halt3,circuit_breaker,low_congestion,linear_share,30,10000,5,10,4,0.8,3,0.0,True,7.700095667152963,0.15774011274986108,0.056446574411318014,1.5400191334305926,0.031548022549972216,0.011289314882263602,2.9929595083833846,0.22555657520039676,0.08071438383083351,4688.3,76.4443227634245,27.355249580879057,0.46882999999999997,0.00764443227634245,0.002735524958087906,0.0,0.0,0.0,0.9333333333333333,0.8683449709106095,0.31073325713241995,0.09494661789720495,0.007779042685457106,0.0027836946743520084,0.0,0.0,0.0,9.99972,0.0002605034912732482,9.321997713974937e-05,low_congestion_baseline,1.0021739061341788
low_congestion_cb_opaque_ratio08_halt5,circuit_breaker,low_congestion,linear_share,30,10000,5,10,4,0.8,5,0.0,False,7.6824327311086416,0.1432956034410174,0.05127767313869395,1.5364865462217283,0.028659120688203494,0.010255534627738795,2.9496749191251963,0.23919394694269097,0.08559445463468106,4671.6,77.39535760825933,27.695573029372174,0.46716,0.007739535760825936,0.0027695573029372185,2.7333333333333334,2.728310495695008,0.9763133722152347,0.9666666666666667,0.8502873077655143,0.30427140536469305,0.09411962246326727,0.0062319655083230285,0.002230080216515079,0.0,0.0,0.0,9.999516666666667,0.0004251436538825323,0.00015213570268226607,low_congestion_baseline,0.9998750602010242
