condition_name,agent_name,mean_reward,std_reward,ci95_reward,n_observations
balanced_linear_share_baseline,RandomAgent_1,8704.836728787874,79.85410025646773,28.575422786234345,30
balanced_linear_share_baseline,EpsilonGreedyAgent_1,15403.311697365572,1404.7722864757418,502.6913067144371,30
balanced_linear_share_baseline,UCB_BaselineAgent_1,16658.630193992965,1123.8013067069135,402.14713288027673,30
balanced_linear_share_baseline,RiskAverseEpsilonGreedyAgent_1,12215.344736102828,1951.3536983580852,698.2829529977453,30
balanced_linear_share_baseline,RiskAverseUCBAgent_1,11763.972137908602,1635.424280174971,585.2290626377405,30
balanced_linear_share_cb_opaque_ratio06_halt3,RandomAgent_1,8635.02773450058,167.63866828674588,59.98872701877407,30
balanced_linear_share_cb_opaque_ratio06_halt3,EpsilonGreedyAgent_1,15094.382004893245,1751.8713979930785,626.8991285855609,30
balanced_linear_share_cb_opaque_ratio06_halt3,UCB_BaselineAgent_1,15920.217792249086,1355.9778615624514,485.230446006843,30
balanced_linear_share_cb_opaque_ratio06_halt3,RiskAverseEpsilonGreedyAgent_1,11944.422507939462,2257.564484033779,807.8590753795039,30
balanced_linear_share_cb_opaque_ratio06_halt3,RiskAverseUCBAgent_1,11813.8909434516,1896.1108500552018,678.5145536156126,30
balanced_linear_share_cb_transparent_ratio06_halt3,RandomAgent_1,8622.22690970774,94.44231313161212,33.79574771963155,30
balanced_linear_share_cb_transparent_ratio06_halt3,EpsilonGreedyAgent_1,15683.77921732233,1203.828442627075,430.78447568353295,30
balanced_linear_share_cb_transparent_ratio06_halt3,UCB_BaselineAgent_1,15381.919379230407,1544.1020317068571,552.5498157188632,30
balanced_linear_share_cb_transparent_ratio06_halt3,RiskAverseEpsilonGreedyAgent_1,12022.932153971915,2126.251608142187,760.8693662245925,30
balanced_linear_share_cb_transparent_ratio06_halt3,RiskAverseUCBAgent_1,11999.010771827197,1988.9809620492827,711.747696383643,30
balanced_linear_share_cb_opaque_ratio06_halt5,RandomAgent_1,8524.083909099725,89.15841856783761,31.904930333513512,30
balanced_linear_share_cb_opaque_ratio06_halt5,EpsilonGreedyAgent_1,15213.151795148868,1306.769305932238,467.6213905254447,30
balanced_linear_share_cb_opaque_ratio06_halt5,UCB_BaselineAgent_1,15816.679371087597,1203.8016852516134,430.77490067969455,30
balanced_linear_share_cb_opaque_ratio06_halt5,RiskAverseEpsilonGreedyAgent_1,11584.883764359642,2311.4916490593923,827.1566635474343,30
balanced_linear_share_cb_opaque_ratio06_halt5,RiskAverseUCBAgent_1,11802.566381396608,1744.1502938443741,624.1361669503141,30
balanced_linear_share_cb_transparent_ratio06_halt5,RandomAgent_1,3008.1639790093805,22.125882358783155,7.917645316772616,30
balanced_linear_share_cb_transparent_ratio06_halt5,EpsilonGreedyAgent_1,3005.248032096029,22.951938245459953,8.213245619462588,30
balanced_linear_share_cb_transparent_ratio06_halt5,UCB_BaselineAgent_1,3004.8916878301957,22.887228945828298,8.190089693978022,30
balanced_linear_share_cb_transparent_ratio06_halt5,RiskAverseEpsilonGreedyAgent_1,3005.292402531774,22.701271338797543,8.123545618919211,30
balanced_linear_share_cb_transparent_ratio06_halt5,RiskAverseUCBAgent_1,3004.8916878301957,22.887228945828298,8.190089693978022,30
balanced_linear_share_cb_opaque_ratio08_halt3,RandomAgent_1,8713.828840783683,62.3137380279004,22.298684774094376,30
balanced_linear_share_cb_opaque_ratio08_halt3,EpsilonGreedyAgent_1,14493.87497281037,2018.246595418272,722.2202687868122,30
balanced_linear_share_cb_opaque_ratio08_halt3,UCB_BaselineAgent_1,16401.15378852212,775.6511712557616,277.56320692469444,30
balanced_linear_share_cb_opaque_ratio08_halt3,RiskAverseEpsilonGreedyAgent_1,13504.71947730678,2441.7788741318464,873.7793482703656,30
balanced_linear_share_cb_opaque_ratio08_halt3,RiskAverseUCBAgent_1,11596.19861347447,1953.0140833657317,698.877114141995,30
balanced_linear_share_cb_transparent_ratio08_halt3,RandomAgent_1,8717.078813717688,107.07818803847015,38.31743748356064,30
balanced_linear_share_cb_transparent_ratio08_halt3,EpsilonGreedyAgent_1,15636.44860094454,1470.2936200152922,526.1378148010257,30
balanced_linear_share_cb_transparent_ratio08_halt3,UCB_BaselineAgent_1,16158.24876774129,1100.6456380771817,393.86098327909906,30
balanced_linear_share_cb_transparent_ratio08_halt3,RiskAverseEpsilonGreedyAgent_1,12418.084769120998,2325.032837234507,832.0023155038034,30
balanced_linear_share_cb_transparent_ratio08_halt3,RiskAverseUCBAgent_1,11714.55636121965,1630.300513014375,583.3955461069422,30
balanced_linear_share_cb_opaque_ratio08_halt5,RandomAgent_1,8725.38858902489,111.10796456294294,39.7594744929442,30
balanced_linear_share_cb_opaque_ratio08_halt5,EpsilonGreedyAgent_1,15159.665095911445,1869.5762958096918,669.0192853253874,30
balanced_linear_share_cb_opaque_ratio08_halt5,UCB_BaselineAgent_1,15703.077892528052,1587.812869278814,568.1915380593252,30
balanced_linear_share_cb_opaque_ratio08_halt5,RiskAverseEpsilonGreedyAgent_1,13198.955936139835,2666.0679774055184,954.0401730972217,30
balanced_linear_share_cb_opaque_ratio08_halt5,RiskAverseUCBAgent_1,11624.961165552979,1599.0653440489114,572.2181844420941,30
balanced_linear_share_cb_transparent_ratio08_halt5,RandomAgent_1,4349.607376849872,2467.0855725654546,882.8352340012366,30
balanced_linear_share_cb_transparent_ratio08_halt5,EpsilonGreedyAgent_1,6083.5114001665215,5679.637846987794,2032.4323012734558,30
balanced_linear_share_cb_transparent_ratio08_halt5,UCB_BaselineAgent_1,6196.170329063714,5885.3851517130315,2106.058028703472,30
balanced_linear_share_cb_transparent_ratio08_halt5,RiskAverseEpsilonGreedyAgent_1,5228.959607372874,4113.387104823986,1471.9566713078036,30
balanced_linear_share_cb_transparent_ratio08_halt5,RiskAverseUCBAgent_1,4835.67225248879,3398.4959864812663,1216.1361700792202,30
balanced_zero_on_collision_baseline,RandomAgent_1,6553.803227648863,317.340119762275,113.55870343685679,30
balanced_zero_on_collision_baseline,EpsilonGreedyAgent_1,11397.324231526803,702.3922269502847,251.34783038574653,30
balanced_zero_on_collision_baseline,UCB_BaselineAgent_1,0.0,0.0,0.0,30
balanced_zero_on_collision_baseline,RiskAverseEpsilonGreedyAgent_1,9969.4886668222,1535.5393925572018,549.4857146510218,30
balanced_zero_on_collision_baseline,RiskAverseUCBAgent_1,0.0,0.0,0.0,30
