condition_name,condition_type,market_name,collision_policy,seed,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,avg_reward_per_agent_per_step,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,market_wide_halt_steps,avg_available_arms,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name,agent_5_reward,agent_5_name,agent_6_reward,agent_6_name,agent_7_reward,agent_7_name,agent_8_reward,agent_8_name,agent_9_reward,agent_9_name
balanced_linear_share_baseline,baseline,balanced,linear_share,11,10000,5,5,,,,,,64191.26232057733,6.4191262320577325,1.2838252464115465,2.669540837187294,8921,0.8921,0,0,0,5,0.13269855238415262,8642.44239528795,RandomAgent_1,16736.507067549515,EpsilonGreedyAgent_1,15562.663160415397,UCB_BaselineAgent_1,12794.076156515997,RiskAverseEpsilonGreedyAgent_1,10455.573540808466,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,12,10000,5,5,,,,,,64514.34410892778,6.4514344108927775,1.2902868821785556,2.65119967230025,8879,0.8879,0,0,0,5,0.1358493073931042,8615.6327321304,RandomAgent_1,16869.469941778007,EpsilonGreedyAgent_1,15805.077978136136,UCB_BaselineAgent_1,12821.983469747462,RiskAverseEpsilonGreedyAgent_1,10402.17998713577,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,13,10000,5,5,,,,,,64633.16634323992,6.463316634323992,1.2926633268647985,2.6317645210627543,8849,0.8849,0,0,0,5,0.1380327719519987,8664.379955214306,RandomAgent_1,15171.007647529954,EpsilonGreedyAgent_1,17465.655643801598,UCB_BaselineAgent_1,12862.301847969611,RiskAverseEpsilonGreedyAgent_1,10469.821248724451,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,14,10000,5,5,,,,,,65081.423132107484,6.508142313210748,1.3016284626421497,2.649466379590498,8896,0.8896,0,0,0,5,0.13978695365537552,8697.230884039589,RandomAgent_1,15403.932942014662,EpsilonGreedyAgent_1,17601.243419220493,UCB_BaselineAgent_1,12910.892572440756,RiskAverseEpsilonGreedyAgent_1,10468.123314391985,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,15,10000,5,5,,,,,,64422.91218663559,6.442291218663559,1.288458243732712,2.674053007173696,8936,0.8936,0,0,0,5,0.13461033055037563,8646.494154052218,RandomAgent_1,12743.578107200627,EpsilonGreedyAgent_1,15777.498188841639,UCB_BaselineAgent_1,16816.935205652004,RiskAverseEpsilonGreedyAgent_1,10438.406530889108,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,16,10000,5,5,,,,,,64645.789543373445,6.464578954337345,1.2929157908674689,2.6637644556760383,8938,0.8938,0,0,0,5,0.1399730243351025,8539.690917604623,RandomAgent_1,10435.85491206595,EpsilonGreedyAgent_1,15630.90178567749,UCB_BaselineAgent_1,12786.341106080868,RiskAverseEpsilonGreedyAgent_1,17253.00082194451,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,17,10000,5,5,,,,,,65723.18525976193,6.5723185259761925,1.3144637051952386,2.643471064228415,8796,0.8796,0,0,0,5,0.1396651097030075,8850.389627706556,RandomAgent_1,15535.8068040838,EpsilonGreedyAgent_1,17811.099748441888,UCB_BaselineAgent_1,10509.137347215143,RiskAverseEpsilonGreedyAgent_1,13016.75173231455,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,18,10000,5,5,,,,,,65088.95813223102,6.508895813223102,1.3017791626446205,2.639695958545536,8816,0.8816,0,0,0,5,0.1416725916231938,8604.900644730726,RandomAgent_1,15360.016751506355,EpsilonGreedyAgent_1,17694.919099639035,UCB_BaselineAgent_1,10486.750199706186,RiskAverseEpsilonGreedyAgent_1,12942.371436648717,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,19,10000,5,5,,,,,,64131.67308020406,6.413167308020406,1.2826334616040813,2.6831692481867186,8915,0.8915,0,0,0,5,0.12807042529163293,8807.886418163665,RandomAgent_1,15239.655316310349,EpsilonGreedyAgent_1,12960.916799030565,UCB_BaselineAgent_1,16677.586227276897,RiskAverseEpsilonGreedyAgent_1,10445.628319422587,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,20,10000,5,5,,,,,,64719.65420142661,6.471965420142661,1.2943930840285323,2.6797172377980996,8836,0.8836,0,0,0,5,0.1324809295044258,8724.779577438423,RandomAgent_1,16762.868794091926,EpsilonGreedyAgent_1,15854.070469185968,UCB_BaselineAgent_1,12882.986322742388,RiskAverseEpsilonGreedyAgent_1,10494.949037967905,RiskAverseUCBAgent_1,,,,,,,,,,
