condition_name,condition_type,market_name,collision_policy,n_seeds,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,avg_global_reward_mean,avg_global_reward_std,avg_global_reward_ci95,avg_reward_per_agent_per_step_mean,avg_reward_per_agent_per_step_std,avg_reward_per_agent_per_step_ci95,reward_volatility_mean,reward_volatility_std,reward_volatility_ci95,total_collisions_mean,total_collisions_std,total_collisions_ci95,avg_collisions_per_step_mean,avg_collisions_per_step_std,avg_collisions_per_step_ci95,total_halted_choices_mean,total_halted_choices_std,total_halted_choices_ci95,total_triggers_mean,total_triggers_std,total_triggers_ci95,gini_total_rewards_mean,gini_total_rewards_std,gini_total_rewards_ci95,market_wide_halt_steps_mean,market_wide_halt_steps_std,market_wide_halt_steps_ci95,avg_available_arms_mean,avg_available_arms_std,avg_available_arms_ci95,baseline_condition,relative_efficiency
balanced_zero_on_collision_cb_opaque_ratio06_halt3,circuit_breaker,balanced,zero_on_collision,30,10000,5,5,3,0.6,3,0.0,False,4.996512082147337,0.07727391479994884,0.027652115278540668,0.9993024164294675,0.015454782959989768,0.005530423055708133,2.6290895316058736,0.04102653702922741,0.014681157727656172,8763.6,52.130208331538974,18.654555473343393,0.87636,0.0052130208331538945,0.0018654555473343382,609.2,34.21171406565805,12.242504649456093,261.7,15.286121720089087,5.47006840613681,0.22910380385284324,0.00550127736538944,0.0019686068226360386,0.0,0.0,0.0,4.921493333333333,0.004588060467188076,0.001641816352543379,balanced_zero_on_collision_baseline,0.9895354692257974
balanced_zero_on_collision_cb_transparent_ratio06_halt3,circuit_breaker,balanced,zero_on_collision,30,10000,5,5,3,0.6,3,0.0,True,4.984913002758509,0.07717949183306332,0.027618326453786285,0.9969826005517018,0.015435898366612685,0.005523665290757265,2.6367401598556013,0.034936571958884576,0.012501891715271905,8927.833333333334,48.09837859001596,17.211783729674508,0.8927833333333334,0.004809837859001604,0.0017211783729674537,0.0,0.0,0.0,310.26666666666665,30.22893490924095,10.817285432242478,0.23332272095130963,0.007312522213441261,0.0026167524674587986,0.0,0.0,0.0,4.90692,0.009068680472772303,0.0032451856296727495,balanced_zero_on_collision_baseline,0.9872383266837786
balanced_zero_on_collision_cb_opaque_ratio06_halt5,circuit_breaker,balanced,zero_on_collision,30,10000,5,5,3,0.6,5,0.0,False,4.911342566103454,0.11026635312188285,0.03945830770660781,0.9822685132206909,0.022053270624376568,0.007891661541321562,2.621019322697782,0.07675633399282665,0.027466901365390865,8757.133333333333,55.270952234600955,19.778456244938585,0.8757133333333333,0.005527095223460089,0.001977845624493856,1184.9333333333334,98.89351058983401,35.38858827340636,259.9,18.721829412526013,6.69952061417607,0.2278598353919059,0.006797007941055598,0.0024322780542671584,0.0,0.0,0.0,4.870063333333333,0.009359541815094767,0.0033492690242929632,balanced_zero_on_collision_baseline,0.9726680513877927
balanced_zero_on_collision_cb_transparent_ratio06_halt5,circuit_breaker,balanced,zero_on_collision,30,10000,5,5,3,0.6,5,0.0,True,0.0028117026712177443,0.003966110774771107,0.001419254513445532,0.0005623405342435489,0.0007932221549542213,0.0002838509026891064,0.0931478714789685,0.0709170723937122,0.025377348438011867,10004.666666666666,3.7813820984810094,1.3531502056043898,1.0004666666666666,0.00037813820984809303,0.00013531502056043617,0.0,0.0,0.0,9994.033333333333,9.382608024069498,3.3575231611677343,0.42974344926387925,0.18700940642879677,0.0669204566395797,0.0,0.0,0.0,0.0039833333333333335,0.004691304012034749,0.0016787615805838674,balanced_zero_on_collision_baseline,0.0005568443498872008
balanced_zero_on_collision_cb_opaque_ratio08_halt3,circuit_breaker,balanced,zero_on_collision,30,10000,5,5,4,0.8,3,0.0,False,5.067921912683533,0.05058957523760446,0.018103247001063947,1.0135843825367068,0.010117915047520909,0.0036206494002127953,2.639396402341402,0.02155050953167454,0.007711750794869116,8763.3,46.56263856725505,16.662226220427137,0.8763299999999999,0.0046562638567255,0.001666222622042712,6.6,4.613324031616428,1.6508568029687025,2.6666666666666665,1.708666213713216,0.611438351951812,0.23145339077176744,0.006249519041151269,0.002236361667565783,0.0,0.0,0.0,4.9992,0.0005125998641138994,0.0001834315055855202,balanced_zero_on_collision_baseline,1.0036778467494
balanced_zero_on_collision_cb_transparent_ratio08_halt3,circuit_breaker,balanced,zero_on_collision,30,10000,5,5,4,0.8,3,0.0,True,5.072228810618976,0.04783579724920381,0.01711782020362657,1.0144457621237952,0.009567159449840762,0.0034235640407253138,2.635211142903236,0.02484344637725886,0.008890113111503188,8766.133333333333,41.576463279728046,14.877946309066951,0.8766133333333334,0.00415764632797281,0.0014877946309066969,0.0,0.0,0.0,2.7333333333333334,1.5521583045227219,0.5554327159212975,0.23017290754800118,0.0052573330035753,0.0018813124538713923,0.0,0.0,0.0,4.99918,0.0004656474913567205,0.0001666298147763549,balanced_zero_on_collision_baseline,1.0045308074146375
balanced_zero_on_collision_cb_opaque_ratio08_halt5,circuit_breaker,balanced,zero_on_collision,30,10000,5,5,4,0.8,5,0.0,False,5.055232833239114,0.0749705914258413,0.02682788159464529,1.0110465666478228,0.014994118285168266,0.0053655763189290615,2.6252185875039795,0.05409507828921849,0.01935767515762178,8768.0,54.33167616117469,19.442340618753494,0.8767999999999999,0.005433167616117468,0.0019442340618753492,12.933333333333334,8.749121466569179,3.130832907920512,2.7666666666666666,1.6750364552560586,0.5994040974423276,0.22925321878408803,0.0067437038033083645,0.0024132034135475105,0.0,0.0,0.0,4.998616666666667,0.0008375182276280923,0.0002997020487211863,balanced_zero_on_collision_baseline,1.00116483487719
balanced_zero_on_collision_cb_transparent_ratio08_halt5,circuit_breaker,balanced,zero_on_collision,30,10000,5,5,4,0.8,5,0.0,True,5.070535954944111,0.03679148649923423,0.013165664358787877,1.0141071909888222,0.007358297299846859,0.00263313287175758,2.6419674368912753,0.022973517172100118,0.008220967539189132,8773.466666666667,44.2576573022687,15.837399267900055,0.8773466666666666,0.004425765730226874,0.001583739926790007,0.0,0.0,0.0,2.7,1.4890404223224918,0.5328462718507913,0.23126615521526847,0.004592629859717908,0.0016434514886603327,0.0,0.0,0.0,4.99865,0.0007445202111613845,0.0002664231359254452,balanced_zero_on_collision_baseline,1.0041955453944487
high_congestion_linear_share_baseline,baseline,high_congestion,linear_share,30,10000,10,5,,,,,,7.395639801423636,0.025394946468169248,0.009087464884471598,0.7395639801423636,0.002539494646816912,0.0009087464884471551,2.6418730994291293,0.016822841008725907,0.0060199763411773995,35027.03333333333,499.2431156318003,178.65185452565538,3.5027033333333333,0.049924311563180036,0.017865185452565543,0.0,0.0,0.0,0.0,0.0,0.0,0.08849569140701743,0.02083494418717786,0.007455689024909922,0.0,0.0,0.0,5.0,0.0,0.0,high_congestion_linear_share_baseline,1.0
high_congestion_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,high_congestion,linear_share,30,10000,10,5,6,0.6,3,0.0,False,7.377122942961375,0.028961861893963006,0.010363869176892916,0.7377122942961375,0.0028961861893963,0.0010363869176892916,2.6407602153043612,0.01801153856569362,0.006445346298965699,35188.23333333333,380.10349619030336,136.0182892460053,3.518823333333333,0.03801034961903036,0.013601828924600538,69.63333333333334,23.02544819037875,8.239550815417472,14.866666666666667,4.4623585331258315,1.596834493135539,0.0832706554626366,0.013395643939306916,0.004793569620472298,0.0,0.0,0.0,4.99554,0.0013387075599377233,0.00047905034794065227,high_congestion_linear_share_baseline,0.9974962465777881
