Market type,Metric,Mean,95% CI
Low congestion,Average reward per agent per timestep,1.537,"[1.526, 1.548]"
Balanced,Average reward per agent per timestep,1.292,"[1.288, 1.296]"
High congestion,Average reward per agent per timestep,0.740,"[0.739, 0.740]"
